cannot import cuda implementation for inference, fallback to pytorch.
警告: 以下QP值超出安全范围 [0, 71]，将被跳过: [75, 80]
将测试以下QP值: [20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70]

================================================================================
开始多QP测试
================================================================================


================================================================================
测试 QP = 20
================================================================================

QP=20 | Frame 48: Weighted PSNR: 33.267 dB | Y: 31.341 | U: 39.502 | V: 38.591 | Bpp: 0.0048
QP=20 | Frame 49: Weighted PSNR: 33.682 dB | Y: 31.795 | U: 39.577 | V: 39.115 | Bpp: 0.0165
QP=20 | Frame 50: Weighted PSNR: 33.323 dB | Y: 31.340 | U: 39.497 | V: 39.051 | Bpp: 0.0053
QP=20 | Frame 51: Weighted PSNR: 33.448 dB | Y: 31.577 | U: 39.242 | V: 38.876 | Bpp: 0.0125
QP=20 | Frame 52: Weighted PSNR: 33.094 dB | Y: 31.123 | U: 39.087 | V: 38.928 | Bpp: 0.0063
QP=20 | Frame 53: Weighted PSNR: 33.493 dB | Y: 31.601 | U: 39.178 | V: 39.156 | Bpp: 0.0162
QP=20 | Frame 54: Weighted PSNR: 33.153 dB | Y: 31.206 | U: 38.841 | V: 39.143 | Bpp: 0.0062
QP=20 | Frame 55: Weighted PSNR: 33.467 dB | Y: 31.656 | U: 38.832 | V: 38.968 | Bpp: 0.0113
QP=20 | Frame 56: Weighted PSNR: 33.344 dB | Y: 31.553 | U: 38.612 | V: 38.826 | Bpp: 0.0068
QP=20 | Frame 57: Weighted PSNR: 33.892 dB | Y: 32.256 | U: 38.631 | V: 38.975 | Bpp: 0.0135
QP=20 | Frame 58: Weighted PSNR: 33.538 dB | Y: 31.839 | U: 38.594 | V: 38.678 | Bpp: 0.0058
QP=20 | Frame 59: Weighted PSNR: 33.460 dB | Y: 31.834 | U: 38.365 | V: 38.315 | Bpp: 0.0079
QP=20 | Frame 60: Weighted PSNR: 33.097 dB | Y: 31.449 | U: 38.177 | V: 37.905 | Bpp: 0.0059
QP=20 | Frame 61: Weighted PSNR: 33.167 dB | Y: 31.599 | U: 37.893 | V: 37.847 | Bpp: 0.0079
QP=20 | Frame 62: Weighted PSNR: 32.720 dB | Y: 31.144 | U: 37.344 | V: 37.551 | Bpp: 0.0048
QP=20 | Frame 63: Weighted PSNR: 32.005 dB | Y: 30.371 | U: 37.057 | V: 36.751 | Bpp: 0.0031
QP=20 | Frame 64: Weighted PSNR: 31.603 dB | Y: 30.048 | U: 36.705 | V: 35.834 | Bpp: 0.0040
QP=20 | Frame 65: Weighted PSNR: 33.432 dB | Y: 31.955 | U: 37.712 | V: 38.015 | Bpp: 0.0353
QP=20 | Frame 66: Weighted PSNR: 32.783 dB | Y: 31.233 | U: 37.590 | V: 37.273 | Bpp: 0.0084
QP=20 | Frame 67: Weighted PSNR: 33.532 dB | Y: 32.002 | U: 38.088 | V: 38.154 | Bpp: 0.0181
QP=20 | Frame 68: Weighted PSNR: 33.027 dB | Y: 31.389 | U: 38.297 | V: 37.584 | Bpp: 0.0072
QP=20 | Frame 69: Weighted PSNR: 33.826 dB | Y: 32.282 | U: 38.790 | V: 38.128 | Bpp: 0.0225
QP=20 | Frame 70: Weighted PSNR: 33.251 dB | Y: 31.668 | U: 38.653 | V: 37.347 | Bpp: 0.0068
QP=20 | Frame 71: Weighted PSNR: 33.519 dB | Y: 31.901 | U: 38.756 | V: 37.991 | Bpp: 0.0194
QP=20 | Frame 72: Weighted PSNR: 32.594 dB | Y: 30.835 | U: 38.427 | V: 37.311 | Bpp: 0.0081
QP=20 | Frame 73: Weighted PSNR: 32.983 dB | Y: 31.213 | U: 38.724 | V: 37.857 | Bpp: 0.0281
QP=20 | Frame 74: Weighted PSNR: 32.181 dB | Y: 30.309 | U: 38.289 | V: 37.307 | Bpp: 0.0104
QP=20 | Frame 75: Weighted PSNR: 32.208 dB | Y: 30.295 | U: 38.465 | V: 37.429 | Bpp: 0.0242
QP=20 | Frame 76: Weighted PSNR: 31.264 dB | Y: 29.219 | U: 38.299 | V: 36.496 | Bpp: 0.0101
QP=20 | Frame 77: Weighted PSNR: 31.837 dB | Y: 29.878 | U: 38.518 | V: 36.908 | Bpp: 0.0351
QP=20 | Frame 78: Weighted PSNR: 31.194 dB | Y: 29.115 | U: 38.566 | V: 36.295 | Bpp: 0.0108
QP=20 | Frame 79: Weighted PSNR: 31.516 dB | Y: 29.441 | U: 38.861 | V: 36.627 | Bpp: 0.0268
QP=20 | Frame 80: Weighted PSNR: 30.998 dB | Y: 28.877 | U: 38.574 | V: 36.151 | Bpp: 0.0091
QP=20 | Frame 81: Weighted PSNR: 31.661 dB | Y: 29.635 | U: 38.740 | V: 36.733 | Bpp: 0.0300
QP=20 | Frame 82: Weighted PSNR: 31.082 dB | Y: 28.979 | U: 38.243 | V: 36.537 | Bpp: 0.0093
QP=20 | Frame 83: Weighted PSNR: 31.440 dB | Y: 29.434 | U: 38.265 | V: 36.650 | Bpp: 0.0215
QP=20 | Frame 84: Weighted PSNR: 31.011 dB | Y: 28.915 | U: 38.136 | V: 36.459 | Bpp: 0.0098
QP=20 | Frame 85: Weighted PSNR: 31.672 dB | Y: 29.644 | U: 38.502 | V: 37.011 | Bpp: 0.0261
QP=20 | Frame 86: Weighted PSNR: 31.238 dB | Y: 29.180 | U: 38.292 | V: 36.535 | Bpp: 0.0087
QP=20 | Frame 87: Weighted PSNR: 31.436 dB | Y: 29.400 | U: 38.656 | V: 36.433 | Bpp: 0.0181
QP=20 | Frame 88: Weighted PSNR: 31.137 dB | Y: 29.083 | U: 38.459 | V: 36.138 | Bpp: 0.0089
QP=20 | Frame 89: Weighted PSNR: 31.441 dB | Y: 29.465 | U: 38.428 | V: 36.308 | Bpp: 0.0191
QP=20 | Frame 90: Weighted PSNR: 31.076 dB | Y: 29.108 | U: 38.346 | V: 35.616 | Bpp: 0.0091
QP=20 | Frame 91: Weighted PSNR: 30.999 dB | Y: 29.075 | U: 38.225 | V: 35.312 | Bpp: 0.0123
QP=20 | Frame 92: Weighted PSNR: 30.715 dB | Y: 28.820 | U: 38.028 | V: 34.772 | Bpp: 0.0082
QP=20 | Frame 93: Weighted PSNR: 30.645 dB | Y: 28.722 | U: 37.847 | V: 34.981 | Bpp: 0.0102
QP=20 | Frame 94: Weighted PSNR: 30.328 dB | Y: 28.473 | U: 37.510 | V: 34.274 | Bpp: 0.0065
QP=20 | Frame 95: Weighted PSNR: 29.640 dB | Y: 27.769 | U: 37.054 | V: 33.456 | Bpp: 0.0034
QP=20 | Frame 96: Weighted PSNR: 29.115 dB | Y: 27.317 | U: 36.394 | V: 32.626 | Bpp: 0.0037
QP=20 | Frame 97: Weighted PSNR: 31.217 dB | Y: 29.388 | U: 38.297 | V: 35.115 | Bpp: 0.0437
QP=20 | Frame 98: Weighted PSNR: 30.982 dB | Y: 29.088 | U: 38.364 | V: 34.965 | Bpp: 0.0086
QP=20 | Frame 99: Weighted PSNR: 31.826 dB | Y: 29.991 | U: 38.821 | V: 35.842 | Bpp: 0.0246
