model,qp,bpp,psnr,psnr_y,mse,ssim,ms_ssim,lpips
WAN,55,0.141119,22.079470,21.702120,0.006371,0.871613,0.840004,0.313042
WAN,59,0.149672,22.143337,21.809936,0.006273,0.872294,0.841381,0.307823
WAN,63,0.161444,22.130561,21.919007,0.006274,0.872756,0.843802,0.303682
WAN,65,0.167796,22.110563,21.998921,0.006291,0.873376,0.845477,0.301810
WAN,67,0.175874,22.091545,22.071990,0.006308,0.873815,0.846906,0.299890
WAN,69,0.183501,22.069183,22.164379,0.006333,0.874303,0.848453,0.297878
WAN,71,0.193745,21.928835,22.298833,0.006536,0.874078,0.849635,0.287746
