model,qp,bpp,psnr,psnr_y,mse,ssim,ms_ssim,lpips
WAN,55,0.135211,22.825296,21.285083,0.005360,0.840119,0.821973,0.351187
WAN,59,0.140830,23.011045,21.460521,0.005121,0.841082,0.826513,0.338677
WAN,63,0.149277,23.146162,21.639852,0.004947,0.842232,0.831368,0.327499
WAN,65,0.153807,23.203579,21.736332,0.004875,0.843028,0.833935,0.322557
WAN,67,0.159656,23.252642,21.823104,0.004817,0.843504,0.835964,0.318008
WAN,69,0.165499,23.284696,21.919854,0.004779,0.844204,0.837789,0.314521
WAN,71,0.170610,23.181833,22.012323,0.004887,0.844549,0.839029,0.305124
