model,qp,bpp,psnr,psnr_y,mse,ssim,ms_ssim,lpips
WAN,55,0.143463,22.468727,22.923942,0.005900,0.879875,0.854612,0.298777
WAN,59,0.152541,22.567447,23.045981,0.005766,0.880477,0.855231,0.296146
WAN,63,0.163925,22.546971,23.209873,0.005768,0.881026,0.857924,0.294363
WAN,65,0.170343,22.533189,23.300999,0.005772,0.881492,0.859849,0.293447
WAN,67,0.177881,22.529079,23.398890,0.005768,0.881834,0.861365,0.291821
WAN,69,0.185784,22.510576,23.535940,0.005781,0.882311,0.862617,0.290708
WAN,71,0.198574,22.365141,23.723780,0.005972,0.881490,0.863805,0.282031
